Portfolio,Peak Date,Trough Date,Maximum Drawdown,Ticker,Weight,Asset Cumulative Return During Drawdown,Weighted Asset Return Contribution,Asset Drawdown Loss Contribution,Drawdown Contribution Percentage
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081017946188445,AAPL,0.2,-0.29072338443889556,-0.05814467688777911,0.05814467688777911,0.23003299201940205
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081017946188445,GOOG,0.2,-0.24016475966869877,-0.048032951933739756,0.048032951933739756,0.19002880814296177
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081017946188445,NVDA,0.2,-0.33336425542735626,-0.06667285108547126,0.06667285108547126,0.2637723045783839
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081017946188445,MSFT,0.2,-0.16081034911350323,-0.032162069822700645,0.032162069822700645,0.127240145561936
Equal Weighted Portfolio,2025-01-06,2025-04-08,-0.26081017946188445,AMZN,0.2,-0.23877067753405878,-0.04775413550681176,0.04775413550681176,0.18892574969731607
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369769336228464,AAPL,0.3001737412238657,-0.24906653786258737,-0.07476323448388845,0.07476323448388845,0.3311344743784941
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369769336228464,GOOG,0.2633777673808368,-0.24267441622074437,-0.06391504594466758,0.06391504594466758,0.2830866707395567
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369769336228464,NVDA,0.0,-0.18671793131664793,-0.0,0.0,0.0
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369769336228464,MSFT,0.3558310389502561,-0.18245827263373882,-0.06492431671633236,0.06492431671633236,0.28755684045315855
Long-only Global Minimum Variance Portfolio,2025-01-28,2025-04-08,-0.24369769336228464,AMZN,0.0806174524450413,-0.27508280949166397,-0.022176475312642576,0.022176475312642576,0.09822201442879064
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655915934474,AAPL,0.3871563809996707,-0.29072338443889556,-0.11255541339133879,0.11255541339133879,0.3626476367403848
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655915934474,GOOG,0.0,-0.24016475966869877,-0.0,0.0,0.0
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655915934474,NVDA,0.5752653094739274,-0.33336425542735626,-0.19177289156596347,0.19177289156596347,0.6178821952833619
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655915934474,MSFT,0.0375783095264018,-0.16081034911350323,-0.006042981074035958,0.006042981074035958,0.019470167976253443
Long-only Tangency Portfolio,2025-01-06,2025-04-08,-0.3167655915934474,AMZN,0.0,-0.23877067753405878,-0.0,0.0,0.0
