Portfolio,Ticker,Weight,Asset Daily Volatility,Asset Annualized Volatility,Marginal Contribution to Risk,Component Contribution to Risk,Percentage Contribution to Risk,Weight Minus Risk Contribution,Risk Contribution Minus Weight,Portfolio Daily Volatility,Portfolio Annualized Volatility
Equal Weighted Portfolio,AAPL,0.2,0.015791103149389328,0.25067599116391803,0.008765293795358379,0.0017530587590716758,0.14208239437924447,0.05791760562075554,-0.05791760562075554,0.012338325003113576,0.1958648373199726
Equal Weighted Portfolio,GOOG,0.2,0.019567072880158614,0.3106176523582563,0.012797720628404018,0.002559544125680804,0.20744664490803272,-0.007446644908032707,0.007446644908032707,0.012338325003113576,0.1958648373199726
Equal Weighted Portfolio,NVDA,0.2,0.022196782595250385,0.35236299991679637,0.014869290320153774,0.002973858064030755,0.24102607633372455,-0.04102607633372454,0.04102607633372454,0.012338325003113576,0.1958648373199726
Equal Weighted Portfolio,MSFT,0.2,0.017842420003304695,0.28323963669785085,0.010607825174936891,0.002121565034987378,0.17194919362652558,0.02805080637347443,-0.02805080637347443,0.012338325003113576,0.1958648373199726
Equal Weighted Portfolio,AMZN,0.2,0.019625929441432974,0.3115519713031946,0.014651495096714822,0.0029302990193429647,0.2374956907524728,-0.03749569075247278,0.03749569075247278,0.012338325003113576,0.1958648373199726
Long-only Global Minimum Variance Portfolio,AAPL,0.3001748827192504,0.015791103149389328,0.25067599116391803,0.010237013248698242,0.0030728942513234075,0.25703841193765803,0.043136470781592384,-0.043136470781592384,0.011955000142425037,0.18977974380359047
Long-only Global Minimum Variance Portfolio,GOOG,0.263378028870435,0.019567072880158614,0.3106176523582563,0.012787668253585332,0.0033679908584783426,0.28172236038093057,-0.018344331510495582,0.018344331510495582,0.011955000142425037,0.18977974380359047
Long-only Global Minimum Variance Portfolio,NVDA,0.0,0.022196782595250385,0.35236299991679637,0.008450822977227627,0.0,0.0,0.0,0.0,0.011955000142425037,0.18977974380359047
Long-only Global Minimum Variance Portfolio,MSFT,0.3558299018940875,0.017842420003304695,0.28323963669785085,0.012692529799285566,0.004516381633267565,0.37778181342216444,-0.02195191152807696,0.02195191152807696,0.011955000142425037,0.18977974380359047
Long-only Global Minimum Variance Portfolio,AMZN,0.080617186516227,0.019625929441432974,0.3115519713031946,0.012376187292952652,0.0009977333993557225,0.08345741425924694,-0.002840227743019938,0.002840227743019938,0.011955000142425037,0.18977974380359047
Long-only Tangency Portfolio,AAPL,0.3871576253832212,0.015791103149389328,0.25067599116391803,0.008859094043662134,0.0034298658129908706,0.2229875907920299,0.16417003459119128,-0.16417003459119128,0.015381420108663115,0.24417247451118418
Long-only Tangency Portfolio,GOOG,0.0,0.019567072880158614,0.3106176523582563,0.006260469745380112,0.0,0.0,0.0,0.0,0.015381420108663115,0.24417247451118418
Long-only Tangency Portfolio,NVDA,0.5752653062201253,0.022196782595250385,0.35236299991679637,0.02035107757704792,0.011707268874269997,0.761130558268559,-0.18586525204843374,0.18586525204843374,0.015381420108663115,0.24417247451118418
Long-only Tangency Portfolio,MSFT,0.0375770683966534,0.017842420003304695,0.28323963669785085,0.006500917496373999,0.00024428542140224655,0.015881850939411,0.021695217457242403,-0.021695217457242403,0.015381420108663115,0.24417247451118418
Long-only Tangency Portfolio,AMZN,0.0,0.019625929441432974,0.3115519713031946,0.00754542972103426,0.0,0.0,0.0,0.0,0.015381420108663115,0.24417247451118418
