Portfolio,Ticker,Weight,Percentage Contribution to Risk,Risk Contribution Minus Weight,Risk Concentration Flag
Equal Weighted Portfolio,AAPL,0.2,0.10374521907910622,-0.09625478092089379,Broadly aligned with weight
Equal Weighted Portfolio,GOOG,0.2,0.21468738005680735,0.014687380056807336,Broadly aligned with weight
Equal Weighted Portfolio,NVDA,0.2,0.2283285477797608,0.028328547779760793,Broadly aligned with weight
Equal Weighted Portfolio,MSFT,0.2,0.19997757682280715,-2.242317719286513e-05,Broadly aligned with weight
Equal Weighted Portfolio,AMZN,0.2,0.2532612762615184,0.05326127626151839,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,AAPL,0.3001733991734915,0.2028124121986888,-0.0973609869748027,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,GOOG,0.26337754282157,0.2798586240063291,0.016481081184759105,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,NVDA,0.0,0.0,0.0,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,MSFT,0.3558321891758771,0.4321170908658834,0.07628490169000629,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,AMZN,0.0806168688290613,0.08521187292909857,0.00459500410003727,Broadly aligned with weight
Long-only Tangency Portfolio,AAPL,0.3871563021113221,0.21140182129321514,-0.175754480818107,Low risk contribution relative to weight
Long-only Tangency Portfolio,GOOG,0.0,0.0,0.0,Broadly aligned with weight
Long-only Tangency Portfolio,NVDA,0.5752649261196078,0.7721338050950178,0.19686887897541006,High risk contribution relative to weight
Long-only Tangency Portfolio,MSFT,0.0375787717690701,0.016464373611767155,-0.021114398157302948,Broadly aligned with weight
Long-only Tangency Portfolio,AMZN,0.0,0.0,0.0,Broadly aligned with weight
