Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES,Model
2025-01-02,Equal Weighted Portfolio,0.0003105125271706,0.0223031401982818,0.0328172878391594,False,False,Historical VaR
2025-01-02,Equal Weighted Portfolio,0.0003105125271706,0.02019646750654,0.0275011268498758,False,False,EWMA-t
2025-01-02,Equal Weighted Portfolio,0.0003105125271706,0.0199794013187863,0.0289953430616566,False,False,GARCH-t
2025-01-03,Equal Weighted Portfolio,0.0170131431865111,0.0223031401982818,0.0328172878391594,False,False,Historical VaR
2025-01-03,Equal Weighted Portfolio,0.0170131431865111,0.0195815824721526,0.0266638501665498,False,False,EWMA-t
2025-01-03,Equal Weighted Portfolio,0.0170131431865111,0.0188104241634942,0.0273515419028841,False,False,GARCH-t
2025-01-06,Equal Weighted Portfolio,0.0183930121425655,0.0223031401982818,0.0328172878391594,False,False,Historical VaR
2025-01-06,Equal Weighted Portfolio,0.0183930121425655,0.0201294057329377,0.0274098101707576,False,False,EWMA-t
2025-01-06,Equal Weighted Portfolio,0.0183930121425655,0.0193434588386592,0.0281010886435843,False,False,GARCH-t
2025-01-07,Equal Weighted Portfolio,-0.023368852510861,0.0223031401982818,0.0328172878391594,True,False,Historical VaR
2025-01-07,Equal Weighted Portfolio,-0.023368852510861,0.0208133973424355,0.0283411878986182,True,False,EWMA-t
2025-01-07,Equal Weighted Portfolio,-0.023368852510861,0.0200920232479444,0.029153710619838,True,False,GARCH-t
2025-01-08,Equal Weighted Portfolio,7.474732068810652e-05,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-08,Equal Weighted Portfolio,7.474732068810652e-05,0.0221733309466652,0.0301929823545159,False,False,EWMA-t
2025-01-08,Equal Weighted Portfolio,7.474732068810652e-05,0.0232269355200097,0.0335619853257569,False,False,GARCH-t
2025-01-10,Equal Weighted Portfolio,-0.018603375343766,0.0234892679363461,0.0328172878391594,False,False,Historical VaR
2025-01-10,Equal Weighted Portfolio,-0.018603375343766,0.021497862055762,0.029273209842523,False,False,EWMA-t
2025-01-10,Equal Weighted Portfolio,-0.018603375343766,0.0217907129755352,0.0315423870195158,False,False,GARCH-t
