Portfolio,Ticker,Weight
Equal Weighted Portfolio,AAPL,0.2
Equal Weighted Portfolio,GOOG,0.2
Equal Weighted Portfolio,NVDA,0.2
Equal Weighted Portfolio,MSFT,0.2
Equal Weighted Portfolio,AMZN,0.2
Long-only Global Minimum Variance Portfolio,AAPL,0.300173684081147
Long-only Global Minimum Variance Portfolio,GOOG,0.2633781047927822
Long-only Global Minimum Variance Portfolio,NVDA,0.0
Long-only Global Minimum Variance Portfolio,MSFT,0.3558313467466339
Long-only Global Minimum Variance Portfolio,AMZN,0.08061686437943694
Long-only Tangency Portfolio,AAPL,0.3871577877567791
Long-only Tangency Portfolio,GOOG,0.0
Long-only Tangency Portfolio,NVDA,0.5752650744634425
Long-only Tangency Portfolio,MSFT,0.03757713777977839
Long-only Tangency Portfolio,AMZN,0.0
