Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-01-02,Equal Weighted Portfolio,0.00031045416371222557,0.022303136313049556,0.03281729270693296,False,False
2025-01-03,Equal Weighted Portfolio,0.01701315391413403,0.022303136313049556,0.03281729270693296,False,False
2025-01-06,Equal Weighted Portfolio,0.0183929929649767,0.022303136313049556,0.03281729270693296,False,False
2025-01-07,Equal Weighted Portfolio,-0.02336883657123705,0.022303136313049556,0.03281729270693296,True,False
2025-01-08,Equal Weighted Portfolio,7.474621390735066e-05,0.023489255936359425,0.03281729270693296,False,False
2025-01-10,Equal Weighted Portfolio,-0.01860334701620088,0.023489255936359425,0.03281729270693296,False,False
2025-01-13,Equal Weighted Portfolio,-0.008202421801049731,0.023489255936359425,0.03281729270693296,False,False
2025-01-14,Equal Weighted Portfolio,-0.005821584491857768,0.023489255936359425,0.03281729270693296,False,False
2025-01-15,Equal Weighted Portfolio,0.027196804073222933,0.023489255936359425,0.03281729270693296,False,False
2025-01-16,Equal Weighted Portfolio,-0.017829458859070946,0.023489255936359425,0.03281729270693296,False,False
2025-01-17,Equal Weighted Portfolio,0.01781822996226534,0.023489255936359425,0.03281729270693296,False,False
2025-01-21,Equal Weighted Portfolio,0.004229183509768441,0.023489255936359425,0.03281729270693296,False,False
2025-01-22,Equal Weighted Portfolio,0.022320483029088668,0.023489255936359425,0.03281729270693296,False,False
2025-01-23,Equal Weighted Portfolio,0.00017964163278907377,0.023489255936359425,0.03281729270693296,False,False
2025-01-24,Equal Weighted Portfolio,-0.006381862741632993,0.023489255936359425,0.03281729270693296,False,False
2025-01-27,Equal Weighted Portfolio,-0.03942705696480138,0.023489255936359425,0.03281729270693296,True,True
2025-01-28,Equal Weighted Portfolio,0.03670322394269059,0.02523861861163755,0.0340319559226563,False,False
2025-01-29,Equal Weighted Portfolio,-0.01025216825020232,0.02523861861163755,0.0340319559226563,False,False
2025-01-30,Equal Weighted Portfolio,-0.008826824093388953,0.02523861861163755,0.0340319559226563,False,False
2025-01-31,Equal Weighted Portfolio,-0.0031306330649435226,0.02523861861163755,0.0340319559226563,False,False
2025-02-03,Equal Weighted Portfolio,-0.017544278989301176,0.02523861861163755,0.0340319559226563,False,False
2025-02-04,Equal Weighted Portfolio,0.017231534430612427,0.023489255936359425,0.033333625775357555,False,False
2025-02-05,Equal Weighted Portfolio,-0.008161763837828385,0.023489255936359425,0.033333625775357555,False,False
2025-02-06,Equal Weighted Portfolio,0.010300932232597138,0.023489255936359425,0.033333625775357555,False,False
2025-02-07,Equal Weighted Portfolio,-0.020400137647549957,0.023489255936359425,0.033333625775357555,False,False
2025-02-10,Equal Weighted Portfolio,0.0118039349527054,0.023489255936359425,0.033333625775357555,False,False
2025-02-11,Equal Weighted Portfolio,0.001308144383163801,0.023489255936359425,0.033333625775357555,False,False
2025-02-12,Equal Weighted Portfolio,-0.00505692350467697,0.023489255936359425,0.033333625775357555,False,False
2025-02-13,Equal Weighted Portfolio,0.01489769786576636,0.023489255936359425,0.033333625775357555,False,False
2025-02-14,Equal Weighted Portfolio,0.004234651160314074,0.023489255936359425,0.033333625775357555,False,False
2025-02-18,Equal Weighted Portfolio,-0.0016421322097590618,0.023489255936359425,0.033333625775357555,False,False
2025-02-19,Equal Weighted Portfolio,0.004001976082523329,0.023489255936359425,0.033333625775357555,False,False
2025-02-20,Equal Weighted Portfolio,-0.0007267273319549348,0.023489255936359425,0.033333625775357555,False,False
2025-02-21,Equal Weighted Portfolio,-0.023217735428591204,0.023489255936359425,0.033333625775357555,False,False
2025-02-24,Equal Weighted Portfolio,-0.01097764138493338,0.023489255936359425,0.033333625775357555,False,False
2025-02-25,Equal Weighted Portfolio,-0.012803690996135188,0.023489255936359425,0.033333625775357555,False,False
2025-02-26,Equal Weighted Portfolio,0.0013021672814798719,0.023489255936359425,0.033333625775357555,False,False
2025-02-27,Equal Weighted Portfolio,-0.033479414526419386,0.023489255936359425,0.033333625775357555,True,True
2025-02-28,Equal Weighted Portfolio,0.01979245874729281,0.02523861861163755,0.03409077803428229,False,False
2025-03-03,Equal Weighted Portfolio,-0.03579447155915063,0.02523861861163755,0.03409077803428229,True,True
2025-03-04,Equal Weighted Portfolio,0.0051753426975785785,0.02770089798358906,0.03475213409038468,False,False
2025-03-05,Equal Weighted Portfolio,0.015717270920421057,0.02770089798358906,0.03475213409038468,False,False
2025-03-06,Equal Weighted Portfolio,-0.022126586165546525,0.02770089798358906,0.03475213409038468,False,False
