Portfolio,Ticker,Weight,Percentage Contribution to Risk,Risk Contribution Minus Weight,Risk Concentration Flag
Equal Weighted Portfolio,AAPL,0.2,0.1414455954025858,-0.058554404597414206,Broadly aligned with weight
Equal Weighted Portfolio,GOOG,0.2,0.20380865224513897,0.0038086522451389604,Broadly aligned with weight
Equal Weighted Portfolio,NVDA,0.2,0.26745091101065005,0.06745091101065004,Broadly aligned with weight
Equal Weighted Portfolio,MSFT,0.2,0.14502130166345537,-0.054978698336544646,Broadly aligned with weight
Equal Weighted Portfolio,AMZN,0.2,0.24227353967816959,0.042273539678169575,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,AAPL,0.3001746390654041,0.2703339712328537,-0.029840667832550405,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,GOOG,0.2633780163772112,0.311737414802014,0.0483593984248028,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,NVDA,0.0,0.0,0.0,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,MSFT,0.3558301586924847,0.32939925279501414,-0.026430905897470547,Broadly aligned with weight
Long-only Global Minimum Variance Portfolio,AMZN,0.0806171858648999,0.08852936117011803,0.007912175305218136,Broadly aligned with weight
Long-only Tangency Portfolio,AAPL,0.3871573060539812,0.2148052796214107,-0.1723520264325705,Low risk contribution relative to weight
Long-only Tangency Portfolio,GOOG,0.0,0.0,0.0,Broadly aligned with weight
Long-only Tangency Portfolio,NVDA,0.5752645443957581,0.7704730440815195,0.19520849968576137,High risk contribution relative to weight
Long-only Tangency Portfolio,MSFT,0.0375781495502606,0.0147216762970693,-0.0228564732531913,Broadly aligned with weight
Long-only Tangency Portfolio,AMZN,0.0,0.0,0.0,Broadly aligned with weight
